,id,edit_history_tweet_ids,lang,created_at,text,author_id
17,1601655343779438592,['1601655343779438592'],en,2022-12-10T19:09:25.000Z,"RT @CryptoIRELAND1: #Cardano Outperforms PayPal and Netflix with Lower Energy Consumption: Details
#VasilHardFork https://t.co/esGc6yByGi",1447611653873340420
18,1601652374820429824,['1601652374820429824'],en,2022-12-10T18:57:38.000Z,"@jordanbpeterson Not having insulation in a house anywhere north of the subtropics is ridiculous.  Regardless of what the left wants, the cost of UK energy is going to bite, and that alone is going to limit consumption.   Insulation is one of the few good ways.  More sane than solar panels.",1488333109644906502
19,1601652199985418240,['1601652199985418240'],en,2022-12-10T18:56:56.000Z,"@DigiEconomist Volcanoes: ~57 megatons of CO2 / year 
Bitcoin:       ~64 megatons of CO2 / year  

https://t.co/TUXtDlazD9
https://t.co/grHrC1dS3t",51807171
20,1601651500643930112,['1601651500643930112'],en,2022-12-10T18:54:09.000Z,@AshleyRothery @Scarym6 @ZahidZh @Depheruk @RishiSunak PIVs are great but tenants are turning them off. Energy consumption and noise.,1494940851222499331
21,1601651252752183297,['1601651252752183297'],en,2022-12-10T18:53:10.000Z,RT @KingFredSports: False ideology alert. Unnecessary energy transition is the problem not the energy consumption. Transitioning from the m…,1413265453477076992
22,1601650943216361474,['1601650943216361474'],en,2022-12-10T18:51:56.000Z,"RT @LebogangMaile1: with demand far exceeding supply, unavailability of land and funding challenges, and are tasked to increase efforts tow…",422482207
23,1601650347172597760,['1601650347172597760'],en,2022-12-10T18:49:34.000Z,"@djgtweeting A green LED running off the mains via a resistor? I considered trying it to reduce my energy consumption, but the laws of physics and basic economics scuppered the plan.",921698700
24,1601649763702956033,['1601649763702956033'],en,2022-12-10T18:47:15.000Z,"All bitcoin nodes are competing against each other in solving a cryptographic puzzle. Because the solution is found randomly, is elected the leader of the round who produces the next block. This algorithm is called “Proof of work” and results in a lot of energy consumption.",1419508312220082176
25,1601649353197641728,['1601649353197641728'],en,2022-12-10T18:45:37.000Z,"RT @SaveStandard: “Adopting fall-back [Standard Time] year-round will benefit sleep patterns, improve mental health and empathy.” #EndDayli…",35307265
26,1601648072509247489,['1601648072509247489'],en,2022-12-10T18:40:32.000Z,"RT @SaveStandard: “Adopting fall-back [Standard Time] year-round will benefit sleep patterns, improve mental health and empathy.” #EndDayli…",1586756542665297921
27,1601647777196695553,['1601647777196695553'],en,2022-12-10T18:39:21.000Z,"@PierrePoilievre ""Although it is found in many rocks and some brines, but always in very low concentrations""

There needs to be different ways to store energy for consumption. Tbh we need to look into research and development of sustainable ideas because mining for lithium isn't sustainable.",1345960678293528578
28,1601647236336668672,['1601647236336668672'],en,2022-12-10T18:37:12.000Z,@DavidGr07837209 Definitely for freight. Much more economical in terms of energy consumption. You'd just need to nationalise the railways to prevent the price gouging.,1284864386524307456
29,1601647073673490432,['1601647073673490432'],en,2022-12-10T18:36:34.000Z,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",257250721
30,1601646795985424385,['1601646795985424385'],en,2022-12-10T18:35:27.000Z,@AnjaanRitesh That’s just energy related. Non veg food stuff has most energy mass which is not good for human consumption on a particular day.,1488056686233677825
31,1601645499471523840,['1601645499471523840'],en,2022-12-10T18:30:18.000Z,"@filippo_yacob Interesting idea. 
Personally, prefer to tax carbon, pollution and waste at a higher rate to change behaviour and raise revenue from consumption with high negative externalities. &amp; then use this revenue to incentivise investment in energy efficiency, waste reduction &amp; low carbon",1913749230
32,1601643000714891265,['1601643000714891265'],en,2022-12-10T18:20:23.000Z,"Easy. 

Because we are surrounded by data. Data is everywhere. Not only at work.

• Entertainment: #Netflix movies

• Sports: #FIFAWorldCup matches

• Public transportation: Departure schedules

• Home: Energy consumption

Problem: we just can't process data properly",1592439817631137793
33,1601642401579167744,['1601642401579167744'],en,2022-12-10T18:18:00.000Z,"The data challenge $OCEAN Storage Network Energy Consumption# has been extended.

You now have enough time to analyze the energy efficiency of #Filecoin storage and earn a significant reward.

https://t.co/yQ9vmeyVPU https://t.co/BLKanHAQmN",1289655431632228352
34,1601640235099488256,['1601640235099488256'],en,2022-12-10T18:09:23.000Z,"@Lillian07325881 @tedblom Ja, go switch on more christmas lights. Light up your gardens, people, we don't have a care when it comes to power consumption while we're at poor energy production",1157925540
35,1601639237354672128,['1601639237354672128'],en,2022-12-10T18:05:25.000Z,RT @ShellenbergerMD: Per capita income remains tightly coupled with per capita energy consumption. There is no rich low-energy nation just…,1431750218094190593
36,1601639130294886405,['1601639130294886405'],en,2022-12-10T18:05:00.000Z,Turn your home thermostat down one degree to make a 4% reduction in your energy consumption. https://t.co/nFCFRxY4tf,1392029274744500232
37,1601638990930907143,['1601638990930907143'],en,2022-12-10T18:04:27.000Z,"Looking to take advantage of export demand and refining margins to offset weak domestic consumption, Chinese refiners could export a record-high volume of transportation fuels this month as they also seek to use up the export quotas allocated by the gove… https://t.co/L5YZiGcRFc",8572192
38,1601638744939171846,['1601638744939171846'],en,2022-12-10T18:03:28.000Z,is #bitcoin's #energy consumption still bad for the environment when a rural village in Kenya uses #excess #hydropower for #mining? 🤔 https://t.co/eKraQz4hls,1384064134380023809
39,1601636394887446528,['1601636394887446528'],en,2022-12-10T17:54:08.000Z,"RT @michael__bean: Why I commit to this every year:
•Cuts greenhouse gasses and emissions. 
•Reduces pressure on over-fished oceans.
•Reduc…",1463218261147979784
40,1601635593678643202,['1601635593678643202'],en,2022-12-10T17:50:57.000Z,"RT @Analytics_699: LoRa Devices &amp; LoRaWAN into new HVAC optimization Solution to Reduce Energy consumption in Smart Buildings ▶️
#Analytics…",1465977386613182464
41,1601633812802174983,['1601633812802174983'],en,2022-12-10T17:43:52.000Z,"RT @BTC_Archive: JUST IN:  🇷🇺  #Bitcoin mining industry's power consumption could double this year - Russian Ministry of Energy

🤝",879063630
42,1601633732221624320,['1601633732221624320'],en,2022-12-10T17:43:33.000Z,"@TRVLADCTTV 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
43,1601633692304429056,['1601633692304429056'],en,2022-12-10T17:43:23.000Z,"@UkorMarcel 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
44,1601633640848707585,['1601633640848707585'],en,2022-12-10T17:43:11.000Z,"@BTCmining65 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
45,1601633568920596481,['1601633568920596481'],en,2022-12-10T17:42:54.000Z,"@jesscawildchild @TheDavidGersch 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
46,1601633493595099136,['1601633493595099136'],en,2022-12-10T17:42:36.000Z,"@PayneResidence 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
47,1601633456026329088,['1601633456026329088'],en,2022-12-10T17:42:27.000Z,"@1703_collective @HODLFrance 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsV8nFy",1541620796728250368
48,1601633417535578112,['1601633417535578112'],en,2022-12-10T17:42:18.000Z,"@coinofcrypto 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
49,1601633374803701760,['1601633374803701760'],en,2022-12-10T17:42:08.000Z,"@Awake2Crypto @TokenFoundation 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsV8nFy",1541620796728250368
50,1601633333951500288,['1601633333951500288'],en,2022-12-10T17:41:58.000Z,"@CryptoL49242539 @TokenFoundation 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth
N an
Website: https://t.co/u4WPsVqwTG",1541620796728250368
51,1601633297552900097,['1601633297552900097'],en,2022-12-10T17:41:49.000Z,"@CryptoL49242539 @TokenFoundation 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsV8nFy",1541620796728250368
52,1601633267698237441,['1601633267698237441'],en,2022-12-10T17:41:42.000Z,"@Iamthebestfu2 @TokenFoundation 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
53,1601633232306724864,['1601633232306724864'],en,2022-12-10T17:41:34.000Z,"@TokenFoundation 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
54,1601633161389428737,['1601633161389428737'],en,2022-12-10T17:41:17.000Z,"@Jason08Nft @gloomins 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
55,1601633125259677701,['1601633125259677701'],en,2022-12-10T17:41:08.000Z,"@gloomins @Jason08Nft 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
56,1601633082607833088,['1601633082607833088'],en,2022-12-10T17:40:58.000Z,"@usfinancecrypto 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
57,1601633053348352000,['1601633053348352000'],en,2022-12-10T17:40:51.000Z,"@zeyybisuss 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
58,1601633020506648576,['1601633020506648576'],en,2022-12-10T17:40:43.000Z,"@dalnosk 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsV8nFy",1541620796728250368
59,1601632983215386624,['1601632983215386624'],en,2022-12-10T17:40:34.000Z,"@usfinancecrypto 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
60,1601632906535141378,['1601632906535141378'],en,2022-12-10T17:40:16.000Z,"@iconalmas @OpenAI 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
61,1601632870522814464,['1601632870522814464'],en,2022-12-10T17:40:07.000Z,"@iconalmas 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
62,1601632838524489729,['1601632838524489729'],en,2022-12-10T17:40:00.000Z,"@pww4300 @iconalmas 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
63,1601632799030595584,['1601632799030595584'],en,2022-12-10T17:39:50.000Z,"@iconalmas 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsV8nFy",1541620796728250368
64,1601632753577242625,['1601632753577242625'],en,2022-12-10T17:39:40.000Z,"@toopprak @BitKanOfficial @BscPitbull @KibaInuWorld @VoltInuOfficial 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
65,1601632706693332992,['1601632706693332992'],en,2022-12-10T17:39:28.000Z,"@mehdimaghsoudi5 @BitKanOfficial @BscPitbull @KibaInuWorld @VoltInuOfficial 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarthnsnsjs

Website: https://t.co/u4WPsVqwTG",1541620796728250368
66,1601632658689511424,['1601632658689511424'],en,2022-12-10T17:39:17.000Z,"@ZSeqiz @BitKanOfficial @BscPitbull @KibaInuWorld @VoltInuOfficial 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
67,1601632620760117248,['1601632620760117248'],en,2022-12-10T17:39:08.000Z,"@Md935572 @BitKanOfficial @BscPitbull @KibaInuWorld @VoltInuOfficial 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsV8nFy",1541620796728250368
68,1601632588632068097,['1601632588632068097'],en,2022-12-10T17:39:00.000Z,"@mehdimaghsoudi5 @BitKanOfficial @BscPitbull @KibaInuWorld @VoltInuOfficial 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
69,1601632541773266944,['1601632541773266944'],en,2022-12-10T17:38:49.000Z,"@Emperor39543715 @BitKanOfficial @BscPitbull @KibaInuWorld @VoltInuOfficial 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
70,1601632506427867136,['1601632506427867136'],en,2022-12-10T17:38:41.000Z,"@Kse91004200 @BitKanOfficial @BscPitbull @KibaInuWorld @VoltInuOfficial 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
71,1601632472235929601,['1601632472235929601'],en,2022-12-10T17:38:32.000Z,"@Mohamad59293741 @BitKanOfficial @BscPitbull @KibaInuWorld @VoltInuOfficial 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
72,1601632446033760259,['1601632446033760259'],en,2022-12-10T17:38:26.000Z,"RT @BAP_Seafood: “Supercooling eliminates the need for ice in the crates, thus allowing for more salmon in each crate,” said @nofima scient…",732185508
73,1601632403662917632,['1601632403662917632'],en,2022-12-10T17:38:16.000Z,"@BscPitbull_KR @BitKanOfficial @BscPitbull @KibaInuWorld @VoltInuOfficial 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsV8nFy",1541620796728250368
74,1601632372315033601,['1601632372315033601'],en,2022-12-10T17:38:09.000Z,"@ShunbinH @BitKanOfficial @BscPitbull @KibaInuWorld @VoltInuOfficial 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
75,1601632340178268161,['1601632340178268161'],en,2022-12-10T17:38:01.000Z,"@belarturr @BitKanOfficial @BscPitbull @KibaInuWorld @VoltInuOfficial 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
76,1601632310428073984,['1601632310428073984'],en,2022-12-10T17:37:54.000Z,"@tmcraig00008 @BitKanOfficial @BscPitbull @KibaInuWorld @VoltInuOfficial 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
77,1601632270867058688,['1601632270867058688'],en,2022-12-10T17:37:44.000Z,"@Mr_TeacherH @BitKanOfficial @BscPitbull @KibaInuWorld @VoltInuOfficial 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsV8nFy",1541620796728250368
78,1601632238461800448,['1601632238461800448'],en,2022-12-10T17:37:37.000Z,"@Scott_B_UK89 @BitKanOfficial @BscPitbull @KibaInuWorld @VoltInuOfficial 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsV8nFy",1541620796728250368
79,1601632202911277056,['1601632202911277056'],en,2022-12-10T17:37:28.000Z,"@BitKanOfficial @BscPitbull @KibaInuWorld @VoltInuOfficial 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
80,1601632158111911936,['1601632158111911936'],en,2022-12-10T17:37:18.000Z,"@4M_Mak_Samurai @Idyllic_Rbxs @AtamaSamurai @Ramesh5059 @Nazanin_RBXS @NavaroSamurai @SERENA_SAMURAI3 @Hosein_samurai1 @Samira_cryptoo 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
81,1601632117376811008,['1601632117376811008'],en,2022-12-10T17:37:08.000Z,"@lexaa_samurai @FathomFinance 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
82,1601632063886880768,['1601632063886880768'],en,2022-12-10T17:36:55.000Z,"@Roya_samurai3 @Sufia_samurai @lexaa_samurai @Zarysamurai 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
83,1601631980567027717,['1601631980567027717'],en,2022-12-10T17:36:35.000Z,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",1107975309238984705
84,1601631557147844608,['1601631557147844608'],en,2022-12-10T17:34:54.000Z,"@DavidInGeneva @THORChain 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
85,1601631507915100160,['1601631507915100160'],en,2022-12-10T17:34:43.000Z,"@Mark_Crypto_off @ATHprotocol @DroverToken @KibaInuWorld @KibaInuGlobal @GulfCoin_ @kibajoker 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
86,1601631489867022337,['1601631489867022337'],en,2022-12-10T17:34:38.000Z,"@dune_zero @AdvantisToken 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
87,1601631454265425921,['1601631454265425921'],en,2022-12-10T17:34:30.000Z,"@nft_kevin @TrippinApeNFT 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsV8nFy",1541620796728250368
88,1601631433302626305,['1601631433302626305'],en,2022-12-10T17:34:25.000Z,"@CryptoBoltx 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
89,1601631415988236289,['1601631415988236289'],en,2022-12-10T17:34:21.000Z,"@GoshFinder @foxesbits 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsV8nFy",1541620796728250368
90,1601631364813819908,['1601631364813819908'],en,2022-12-10T17:34:08.000Z,"@drnemesiseth 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
91,1601631333414973441,['1601631333414973441'],en,2022-12-10T17:34:01.000Z,"@MoonTools_Erc @tqsully @cryptoskullx @realdogen @Thorshammergems 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsV8nFy",1541620796728250368
92,1601631317996601345,['1601631317996601345'],en,2022-12-10T17:33:57.000Z,"@6yocNFTProject 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsV8nFy",1541620796728250368
93,1601631299873431552,['1601631299873431552'],en,2022-12-10T17:33:53.000Z,"@painterargon @quziraxfusayama @CommerceImplied @ErikWagn3r @EmsarArt @MaryanneChisho2 @obiwanmama @kseni_cher 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
94,1601631263030644737,['1601631263030644737'],en,2022-12-10T17:33:44.000Z,"@AstroTalesNFT 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
95,1601631246144397313,['1601631246144397313'],en,2022-12-10T17:33:40.000Z,"@NFR_eth 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
96,1601631227530088452,['1601631227530088452'],en,2022-12-10T17:33:36.000Z,"@LunaClassicHQ 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
97,1601631193149370368,['1601631193149370368'],en,2022-12-10T17:33:27.000Z,"@AllureAnna 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth
Nna
Website: https://t.co/u4WPsVqwTG",1541620796728250368
98,1601631169229258752,['1601631169229258752'],en,2022-12-10T17:33:22.000Z,"@sis_01samurai @sarahpromos @poshcoin_pscn @PyroTokenErc 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
99,1601631146097659905,['1601631146097659905'],en,2022-12-10T17:33:16.000Z,"@CryptoJeans @8lements 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/u4WPsVqwTG",1541620796728250368
0,1601673686188052480,['1601673686188052480'],en,2022-12-10T20:22:19.000Z,"@michelletandler Work is one way to obtain money. Money is a way to store our work (as potential energy) to be used later for consumption for good that we need/want or for charitable means.

Money is also how we communicate with each other in order for humans to cooperate and conduct commerce.",390793904
